ftp link	Species	Assembly Status	Assembly Name
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/806/865/GCA_002806865.2_ASM280686v2	Cucurbita pepo	Chromosome	ASM280686v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/034/585/GCA_029034585.1_KOR._cv.159-1	Citrullus lanatus	Chromosome	KOR. cv.159-1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/034/555/GCA_029034555.1_KOR._cv.242-1	Citrullus lanatus	Chromosome	KOR. cv.242-1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/017/165/GCA_028017165.1_ASM2801716v1	Herpetospermum pedunculosum	Chromosome	ASM2801716v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/015/215/GCA_028015215.1_ASM2801521v1	Gynostemma pentaphyllum	Chromosome	ASM2801521v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/786/645/GCA_947786645.1_pf3_v1.1	Benincasa hispida	Scaffold	pf3 v1.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/475/165/GCA_027475165.1_pf3_genome.v1.1	Benincasa hispida	Chromosome	pf3_genome.v1.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/175/GCA_026262175.1_INB_pseudomol_v2.0	Cucumis melo	Chromosome	INB_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/165/GCA_026262165.1_ESL_pseudomol_v2.0	Cucumis melo	Chromosome	ESL_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/125/GCA_026262125.1_NA_pseudomol_v2.0	Cucumis melo	Chromosome	NA_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/095/GCA_026262095.1_NUN_pseudomol_v2.0	Cucumis melo	Chromosome	NUN_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/025/GCA_026262025.1_PI161_pseudomol_v2.0	Cucumis melo	Chromosome	PI161_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/985/GCA_026261985.1_PI414_pseudomol_v2.0	Cucumis melo	Chromosome	PI414_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/345/GCA_026262345.1_ARJ_pseudomol_v2.0	Cucumis melo	Chromosome	ARJ_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/305/GCA_026262305.1_BDR_pseudomol_v2.0	Cucumis melo	Chromosome	BDR_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/325/GCA_026262325.1_AY_pseudomol_v2.0	Cucumis melo	Chromosome	AY_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/265/GCA_026262265.1_BEL_pseudomol_v2.0	Cucumis melo	Chromosome	BEL_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/315/GCA_026262315.1_BAHC_pseudomol_v2.0	Cucumis melo	Chromosome	BAHC_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/255/GCA_026262255.1_DOYA_pseudomol_v2.0	Cucumis melo	Chromosome	DOYA_pseudomol_v2.0
